date,country,category,raw_value,tone,article_count
2025-04-22,Germany,protest,30.8,-2.2,60.8
2025-04-22,Germany,crisis,32.5,-2.5,69.6
2025-04-22,Germany,negativity,33.4,-3.4,73.8
2025-04-23,Germany,protest,31.4,-2.2,61.6
2025-04-23,Germany,crisis,34.8,-3.4,61.9
2025-04-23,Germany,negativity,35.2,-3.3,71.0
2025-04-24,Germany,protest,32.4,-2.3,73.6
2025-04-24,Germany,crisis,36.9,-3.8,76.0
2025-04-24,Germany,negativity,32.8,-2.3,61.6
2025-04-25,Germany,protest,32.2,-3.6,75.6
2025-04-25,Germany,crisis,34.2,-3.0,61.2
2025-04-25,Germany,negativity,35.4,-2.8,79.5
2025-04-26,Germany,protest,32.9,-2.4,79.4
2025-04-26,Germany,crisis,35.4,-3.1,77.9
2025-04-26,Germany,negativity,30.9,-2.9,70.2
2025-04-27,Germany,protest,28.5,-2.3,72.9
2025-04-27,Germany,crisis,35.3,-3.3,71.6
2025-04-27,Germany,negativity,33.0,-3.6,62.2
2025-04-28,Germany,protest,29.9,-3.2,71.2
2025-04-28,Germany,crisis,34.7,-2.9,69.5
2025-04-28,Germany,negativity,32.5,-3.2,72.8
2025-04-29,Germany,protest,33.3,-2.4,68.3
2025-04-29,Germany,crisis,33.5,-3.7,67.8
2025-04-29,Germany,negativity,34.2,-2.8,80.4
2025-04-30,Germany,protest,35.6,-3.6,80.2
2025-04-30,Germany,crisis,35.9,-3.3,70.6
2025-04-30,Germany,negativity,34.5,-3.4,63.3
2025-05-01,Germany,protest,33.2,-2.6,78.6
2025-05-01,Germany,crisis,36.2,-3.3,73.5
2025-05-01,Germany,negativity,35.1,-3.6,67.1
2025-05-02,Germany,protest,32.4,-3.1,73.6
2025-05-02,Germany,crisis,38.9,-2.9,90.2
2025-05-02,Germany,negativity,35.0,-3.3,69.5
2025-05-03,Germany,protest,34.0,-3.5,81.9
2025-05-03,Germany,crisis,34.4,-3.4,64.4
2025-05-03,Germany,negativity,32.5,-2.8,63.1
2025-05-04,Germany,protest,33.0,-2.9,58.8
2025-05-04,Germany,crisis,34.2,-2.6,73.7
2025-05-04,Germany,negativity,32.4,-3.5,73.9
2025-05-05,Germany,protest,33.5,-2.7,73.9
2025-05-05,Germany,crisis,33.8,-3.1,63.5
2025-05-05,Germany,negativity,34.6,-3.3,65.6
2025-05-06,Germany,protest,32.8,-3.6,66.8
2025-05-06,Germany,crisis,36.8,-3.0,75.4
2025-05-06,Germany,negativity,34.2,-2.5,76.9
2025-05-07,Germany,protest,33.0,-2.8,59.2
2025-05-07,Germany,crisis,37.2,-3.0,78.3
