period_start,period_end,country,raw_value,unit,provenance,quality_completeness
2024-01-01,2024-12-31,Germany,0.375,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2025-01-01,2025-12-31,Germany,0.395,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2024-01-01,2024-12-31,Israel,0.579,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2025-01-01,2025-12-31,Israel,0.599,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2024-01-01,2024-12-31,Iran,0.703,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2025-01-01,2025-12-31,Iran,0.723,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2024-01-01,2024-12-31,Ukraine,0.666,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2025-01-01,2025-12-31,Ukraine,0.686,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2024-01-01,2024-12-31,Russia,0.629,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2025-01-01,2025-12-31,Russia,0.649,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2024-01-01,2024-12-31,Japan,0.344,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2025-01-01,2025-12-31,Japan,0.364,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2024-01-01,2024-12-31,China,0.511,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2025-01-01,2025-12-31,China,0.531,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2024-01-01,2024-12-31,Taiwan,0.542,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2025-01-01,2025-12-31,Taiwan,0.562,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2024-01-01,2024-12-31,Poland,0.461,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2025-01-01,2025-12-31,Poland,0.481,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2024-01-01,2024-12-31,Nigeria,0.647,dependency_share,UN_COMTRADE_snapshot_v43,0.89
2025-01-01,2025-12-31,Nigeria,0.667,dependency_share,UN_COMTRADE_snapshot_v43,0.89
