feature_id,country,date,cluster,subcluster,feature_name,feature_value
Germany-2026-01-14-protest_signal,Germany,2026-01-14,tension,na,protest_signal,28.0
Germany-2026-01-14-crisis_discourse_signal,Germany,2026-01-14,tension,na,crisis_discourse_signal,35.0
Germany-2026-01-14-negativity_signal,Germany,2026-01-14,tension,na,negativity_signal,33.0
Germany-2026-01-20-protest_signal,Germany,2026-01-20,tension,na,protest_signal,71.0
Germany-2026-01-20-crisis_discourse_signal,Germany,2026-01-20,tension,na,crisis_discourse_signal,36.0
Germany-2026-01-20-negativity_signal,Germany,2026-01-20,tension,na,negativity_signal,38.0
Iran-2026-01-14-protest_signal,Iran,2026-01-14,tension,na,protest_signal,62.0
Iran-2026-01-14-crisis_discourse_signal,Iran,2026-01-14,tension,na,crisis_discourse_signal,71.0
Iran-2026-01-14-negativity_signal,Iran,2026-01-14,tension,na,negativity_signal,74.0
Iran-2026-01-20-protest_signal,Iran,2026-01-20,tension,na,protest_signal,75.0
Iran-2026-01-20-crisis_discourse_signal,Iran,2026-01-20,tension,na,crisis_discourse_signal,79.0
Iran-2026-01-20-negativity_signal,Iran,2026-01-20,tension,na,negativity_signal,81.0
Israel-2026-01-14-protest_signal,Israel,2026-01-14,tension,na,protest_signal,44.0
Israel-2026-01-14-crisis_discourse_signal,Israel,2026-01-14,tension,na,crisis_discourse_signal,67.0
Israel-2026-01-14-negativity_signal,Israel,2026-01-14,tension,na,negativity_signal,58.0
Israel-2026-01-20-protest_signal,Israel,2026-01-20,tension,na,protest_signal,56.0
Israel-2026-01-20-crisis_discourse_signal,Israel,2026-01-20,tension,na,crisis_discourse_signal,70.0
Israel-2026-01-20-negativity_signal,Israel,2026-01-20,tension,na,negativity_signal,66.0
Germany-2026-01-14-internal-internal_violence_signal,Germany,2026-01-14,escalation,internal,internal_violence_signal,16.0
Germany-2026-01-14-internal-repression_signal,Germany,2026-01-14,escalation,internal,repression_signal,14.0
Germany-2026-01-14-internal-domestic_attack_signal,Germany,2026-01-14,escalation,internal,domestic_attack_signal,19.0
Germany-2026-01-14-external-war_activity_signal,Germany,2026-01-14,escalation,external,war_activity_signal,8.0
Germany-2026-01-14-external-external_attack_signal,Germany,2026-01-14,escalation,external,external_attack_signal,9.0
Germany-2026-01-14-external-regional_spillover_signal,Germany,2026-01-14,escalation,external,regional_spillover_signal,12.0
Germany-2026-01-20-internal-internal_violence_signal,Germany,2026-01-20,escalation,internal,internal_violence_signal,17.0
Germany-2026-01-20-internal-repression_signal,Germany,2026-01-20,escalation,internal,repression_signal,15.0
Germany-2026-01-20-internal-domestic_attack_signal,Germany,2026-01-20,escalation,internal,domestic_attack_signal,21.0
Germany-2026-01-20-external-war_activity_signal,Germany,2026-01-20,escalation,external,war_activity_signal,10.0
Germany-2026-01-20-external-external_attack_signal,Germany,2026-01-20,escalation,external,external_attack_signal,11.0
Germany-2026-01-20-external-regional_spillover_signal,Germany,2026-01-20,escalation,external,regional_spillover_signal,13.0
Iran-2026-01-14-internal-internal_violence_signal,Iran,2026-01-14,escalation,internal,internal_violence_signal,66.0
Iran-2026-01-14-internal-repression_signal,Iran,2026-01-14,escalation,internal,repression_signal,72.0
Iran-2026-01-14-internal-domestic_attack_signal,Iran,2026-01-14,escalation,internal,domestic_attack_signal,64.0
Iran-2026-01-14-external-war_activity_signal,Iran,2026-01-14,escalation,external,war_activity_signal,70.0
Iran-2026-01-14-external-external_attack_signal,Iran,2026-01-14,escalation,external,external_attack_signal,69.0
Iran-2026-01-14-external-regional_spillover_signal,Iran,2026-01-14,escalation,external,regional_spillover_signal,61.0
Iran-2026-01-15-internal-internal_violence_signal,Iran,2026-01-15,escalation,internal,internal_violence_signal,0.0
Iran-2026-01-15-internal-repression_signal,Iran,2026-01-15,escalation,internal,repression_signal,0.0
Iran-2026-01-15-internal-domestic_attack_signal,Iran,2026-01-15,escalation,internal,domestic_attack_signal,0.0
Iran-2026-01-15-external-war_activity_signal,Iran,2026-01-15,escalation,external,war_activity_signal,80.0
Iran-2026-01-15-external-external_attack_signal,Iran,2026-01-15,escalation,external,external_attack_signal,0.0
Iran-2026-01-15-external-regional_spillover_signal,Iran,2026-01-15,escalation,external,regional_spillover_signal,0.0
Iran-2026-01-20-internal-internal_violence_signal,Iran,2026-01-20,escalation,internal,internal_violence_signal,78.0
Iran-2026-01-20-internal-repression_signal,Iran,2026-01-20,escalation,internal,repression_signal,76.0
Iran-2026-01-20-internal-domestic_attack_signal,Iran,2026-01-20,escalation,internal,domestic_attack_signal,73.0
Iran-2026-01-20-external-war_activity_signal,Iran,2026-01-20,escalation,external,war_activity_signal,79.0
Iran-2026-01-20-external-external_attack_signal,Iran,2026-01-20,escalation,external,external_attack_signal,75.0
Iran-2026-01-20-external-regional_spillover_signal,Iran,2026-01-20,escalation,external,regional_spillover_signal,66.0
Israel-2026-01-14-internal-internal_violence_signal,Israel,2026-01-14,escalation,internal,internal_violence_signal,54.0
Israel-2026-01-14-internal-repression_signal,Israel,2026-01-14,escalation,internal,repression_signal,49.0
Israel-2026-01-14-internal-domestic_attack_signal,Israel,2026-01-14,escalation,internal,domestic_attack_signal,52.0
Israel-2026-01-14-external-war_activity_signal,Israel,2026-01-14,escalation,external,war_activity_signal,77.0
Israel-2026-01-14-external-external_attack_signal,Israel,2026-01-14,escalation,external,external_attack_signal,74.0
Israel-2026-01-14-external-regional_spillover_signal,Israel,2026-01-14,escalation,external,regional_spillover_signal,68.0
Israel-2026-01-20-internal-internal_violence_signal,Israel,2026-01-20,escalation,internal,internal_violence_signal,57.0
Israel-2026-01-20-internal-repression_signal,Israel,2026-01-20,escalation,internal,repression_signal,52.0
Israel-2026-01-20-internal-domestic_attack_signal,Israel,2026-01-20,escalation,internal,domestic_attack_signal,55.0
Israel-2026-01-20-external-war_activity_signal,Israel,2026-01-20,escalation,external,war_activity_signal,82.0
Israel-2026-01-20-external-external_attack_signal,Israel,2026-01-20,escalation,external,external_attack_signal,78.0
Israel-2026-01-20-external-regional_spillover_signal,Israel,2026-01-20,escalation,external,regional_spillover_signal,71.0
