score_id,country,date,cluster,subcluster,score_name,score_value
Germany-2026-01-14-escalation-internal_dynamics_subscore,Germany,2026-01-14,escalation,internal,internal_dynamics_subscore,16.333333333333332
Germany-2026-01-14-escalation-external_dynamics_subscore,Germany,2026-01-14,escalation,external,external_dynamics_subscore,9.666666666666666
Germany-2026-01-14-escalation-peak_subscore,Germany,2026-01-14,escalation,all,peak_subscore,19.0
Germany-2026-01-14-escalation-intensity_subscore,Germany,2026-01-14,escalation,all,intensity_subscore,13.0
Germany-2026-01-14-tension-protest_subscore,Germany,2026-01-14,tension,na,protest_subscore,28.0
Germany-2026-01-14-tension-crisis_subscore,Germany,2026-01-14,tension,na,crisis_subscore,35.0
Germany-2026-01-14-tension-negativity_subscore,Germany,2026-01-14,tension,na,negativity_subscore,33.0
Germany-2026-01-20-escalation-internal_dynamics_subscore,Germany,2026-01-20,escalation,internal,internal_dynamics_subscore,17.666666666666668
Germany-2026-01-20-escalation-external_dynamics_subscore,Germany,2026-01-20,escalation,external,external_dynamics_subscore,11.333333333333334
Germany-2026-01-20-escalation-peak_subscore,Germany,2026-01-20,escalation,all,peak_subscore,21.0
Germany-2026-01-20-escalation-intensity_subscore,Germany,2026-01-20,escalation,all,intensity_subscore,14.5
Germany-2026-01-20-tension-protest_subscore,Germany,2026-01-20,tension,na,protest_subscore,71.0
Germany-2026-01-20-tension-crisis_subscore,Germany,2026-01-20,tension,na,crisis_subscore,36.0
Germany-2026-01-20-tension-negativity_subscore,Germany,2026-01-20,tension,na,negativity_subscore,38.0
Germany-2026-01-20-vulnerability-economic_subscore,Germany,2026-01-20,vulnerability,economic,economic_subscore,35.0
Germany-2026-01-20-vulnerability-hybrid_subscore,Germany,2026-01-20,vulnerability,hybrid,hybrid_subscore,52.0
Germany-2026-01-20-vulnerability-governance_subscore,Germany,2026-01-20,vulnerability,governance,governance_subscore,32.0
Iran-2026-01-14-escalation-internal_dynamics_subscore,Iran,2026-01-14,escalation,internal,internal_dynamics_subscore,67.33333333333333
Iran-2026-01-14-escalation-external_dynamics_subscore,Iran,2026-01-14,escalation,external,external_dynamics_subscore,66.66666666666667
Iran-2026-01-14-escalation-peak_subscore,Iran,2026-01-14,escalation,all,peak_subscore,72.0
Iran-2026-01-14-escalation-intensity_subscore,Iran,2026-01-14,escalation,all,intensity_subscore,67.0
Iran-2026-01-14-tension-protest_subscore,Iran,2026-01-14,tension,na,protest_subscore,62.0
Iran-2026-01-14-tension-crisis_subscore,Iran,2026-01-14,tension,na,crisis_subscore,71.0
Iran-2026-01-14-tension-negativity_subscore,Iran,2026-01-14,tension,na,negativity_subscore,74.0
Iran-2026-01-15-escalation-internal_dynamics_subscore,Iran,2026-01-15,escalation,internal,internal_dynamics_subscore,0.0
Iran-2026-01-15-escalation-external_dynamics_subscore,Iran,2026-01-15,escalation,external,external_dynamics_subscore,26.666666666666668
Iran-2026-01-15-escalation-peak_subscore,Iran,2026-01-15,escalation,all,peak_subscore,80.0
Iran-2026-01-15-escalation-intensity_subscore,Iran,2026-01-15,escalation,all,intensity_subscore,13.333333333333334
Iran-2026-01-20-escalation-internal_dynamics_subscore,Iran,2026-01-20,escalation,internal,internal_dynamics_subscore,75.66666666666667
Iran-2026-01-20-escalation-external_dynamics_subscore,Iran,2026-01-20,escalation,external,external_dynamics_subscore,73.33333333333333
Iran-2026-01-20-escalation-peak_subscore,Iran,2026-01-20,escalation,all,peak_subscore,79.0
Iran-2026-01-20-escalation-intensity_subscore,Iran,2026-01-20,escalation,all,intensity_subscore,74.5
Iran-2026-01-20-tension-protest_subscore,Iran,2026-01-20,tension,na,protest_subscore,75.0
Iran-2026-01-20-tension-crisis_subscore,Iran,2026-01-20,tension,na,crisis_subscore,79.0
Iran-2026-01-20-tension-negativity_subscore,Iran,2026-01-20,tension,na,negativity_subscore,81.0
Iran-2026-01-20-vulnerability-economic_subscore,Iran,2026-01-20,vulnerability,economic,economic_subscore,72.0
Iran-2026-01-20-vulnerability-hybrid_subscore,Iran,2026-01-20,vulnerability,hybrid,hybrid_subscore,68.0
Iran-2026-01-20-vulnerability-governance_subscore,Iran,2026-01-20,vulnerability,governance,governance_subscore,78.0
Israel-2026-01-14-escalation-internal_dynamics_subscore,Israel,2026-01-14,escalation,internal,internal_dynamics_subscore,51.666666666666664
Israel-2026-01-14-escalation-external_dynamics_subscore,Israel,2026-01-14,escalation,external,external_dynamics_subscore,73.0
Israel-2026-01-14-escalation-peak_subscore,Israel,2026-01-14,escalation,all,peak_subscore,77.0
Israel-2026-01-14-escalation-intensity_subscore,Israel,2026-01-14,escalation,all,intensity_subscore,62.33333333333333
Israel-2026-01-14-tension-protest_subscore,Israel,2026-01-14,tension,na,protest_subscore,44.0
Israel-2026-01-14-tension-crisis_subscore,Israel,2026-01-14,tension,na,crisis_subscore,67.0
Israel-2026-01-14-tension-negativity_subscore,Israel,2026-01-14,tension,na,negativity_subscore,58.0
Israel-2026-01-20-escalation-internal_dynamics_subscore,Israel,2026-01-20,escalation,internal,internal_dynamics_subscore,54.666666666666664
Israel-2026-01-20-escalation-external_dynamics_subscore,Israel,2026-01-20,escalation,external,external_dynamics_subscore,77.0
Israel-2026-01-20-escalation-peak_subscore,Israel,2026-01-20,escalation,all,peak_subscore,82.0
Israel-2026-01-20-escalation-intensity_subscore,Israel,2026-01-20,escalation,all,intensity_subscore,65.83333333333333
Israel-2026-01-20-tension-protest_subscore,Israel,2026-01-20,tension,na,protest_subscore,56.0
Israel-2026-01-20-tension-crisis_subscore,Israel,2026-01-20,tension,na,crisis_subscore,70.0
Israel-2026-01-20-tension-negativity_subscore,Israel,2026-01-20,tension,na,negativity_subscore,66.0
Israel-2026-01-20-vulnerability-economic_subscore,Israel,2026-01-20,vulnerability,economic,economic_subscore,61.0
Israel-2026-01-20-vulnerability-hybrid_subscore,Israel,2026-01-20,vulnerability,hybrid,hybrid_subscore,63.0
Israel-2026-01-20-vulnerability-governance_subscore,Israel,2026-01-20,vulnerability,governance,governance_subscore,55.0
Germany-2026-01-14-escalation-cluster-score,Germany,2026-01-14,escalation,all,cluster_score,14.5
Germany-2026-01-14-tension-cluster-score,Germany,2026-01-14,tension,all,cluster_score,32.0
Germany-2026-01-20-escalation-cluster-score,Germany,2026-01-20,escalation,all,cluster_score,16.125
Germany-2026-01-20-tension-cluster-score,Germany,2026-01-20,tension,all,cluster_score,48.333333333333336
Germany-2026-01-20-vulnerability-cluster-score,Germany,2026-01-20,vulnerability,all,cluster_score,39.666666666666664
Iran-2026-01-14-escalation-cluster-score,Iran,2026-01-14,escalation,all,cluster_score,68.25
Iran-2026-01-14-tension-cluster-score,Iran,2026-01-14,tension,all,cluster_score,69.0
Iran-2026-01-15-escalation-cluster-score,Iran,2026-01-15,escalation,all,cluster_score,30.0
Iran-2026-01-20-escalation-cluster-score,Iran,2026-01-20,escalation,all,cluster_score,75.625
Iran-2026-01-20-tension-cluster-score,Iran,2026-01-20,tension,all,cluster_score,78.33333333333333
Iran-2026-01-20-vulnerability-cluster-score,Iran,2026-01-20,vulnerability,all,cluster_score,72.66666666666667
Israel-2026-01-14-escalation-cluster-score,Israel,2026-01-14,escalation,all,cluster_score,66.0
Israel-2026-01-14-tension-cluster-score,Israel,2026-01-14,tension,all,cluster_score,56.333333333333336
Israel-2026-01-20-escalation-cluster-score,Israel,2026-01-20,escalation,all,cluster_score,69.875
Israel-2026-01-20-tension-cluster-score,Israel,2026-01-20,tension,all,cluster_score,64.0
Israel-2026-01-20-vulnerability-cluster-score,Israel,2026-01-20,vulnerability,all,cluster_score,59.666666666666664
