feature_id,country,date,cluster,subcluster,feature_name,feature_value
China-2025-04-22-protest_signal,China,2025-04-22,tension,na,protest_signal,52.9
China-2025-04-22-crisis_discourse_signal,China,2025-04-22,tension,na,crisis_discourse_signal,54.8
China-2025-04-22-negativity_signal,China,2025-04-22,tension,na,negativity_signal,55.7
China-2025-04-23-protest_signal,China,2025-04-23,tension,na,protest_signal,53.9
China-2025-04-23-crisis_discourse_signal,China,2025-04-23,tension,na,crisis_discourse_signal,56.9
China-2025-04-23-negativity_signal,China,2025-04-23,tension,na,negativity_signal,53.1
China-2025-04-24-protest_signal,China,2025-04-24,tension,na,protest_signal,51.3
China-2025-04-24-crisis_discourse_signal,China,2025-04-24,tension,na,crisis_discourse_signal,59.5
China-2025-04-24-negativity_signal,China,2025-04-24,tension,na,negativity_signal,54.7
China-2025-04-25-protest_signal,China,2025-04-25,tension,na,protest_signal,50.6
China-2025-04-25-crisis_discourse_signal,China,2025-04-25,tension,na,crisis_discourse_signal,57.3
China-2025-04-25-negativity_signal,China,2025-04-25,tension,na,negativity_signal,53.0
China-2025-04-26-protest_signal,China,2025-04-26,tension,na,protest_signal,49.2
China-2025-04-26-crisis_discourse_signal,China,2025-04-26,tension,na,crisis_discourse_signal,54.8
China-2025-04-26-negativity_signal,China,2025-04-26,tension,na,negativity_signal,54.0
China-2025-04-27-protest_signal,China,2025-04-27,tension,na,protest_signal,49.9
China-2025-04-27-crisis_discourse_signal,China,2025-04-27,tension,na,crisis_discourse_signal,56.7
China-2025-04-27-negativity_signal,China,2025-04-27,tension,na,negativity_signal,54.2
China-2025-04-28-protest_signal,China,2025-04-28,tension,na,protest_signal,48.8
China-2025-04-28-crisis_discourse_signal,China,2025-04-28,tension,na,crisis_discourse_signal,54.3
China-2025-04-28-negativity_signal,China,2025-04-28,tension,na,negativity_signal,53.6
China-2025-04-29-protest_signal,China,2025-04-29,tension,na,protest_signal,54.1
China-2025-04-29-crisis_discourse_signal,China,2025-04-29,tension,na,crisis_discourse_signal,56.7
China-2025-04-29-negativity_signal,China,2025-04-29,tension,na,negativity_signal,52.8
China-2025-04-30-protest_signal,China,2025-04-30,tension,na,protest_signal,53.5
China-2025-04-30-crisis_discourse_signal,China,2025-04-30,tension,na,crisis_discourse_signal,59.0
China-2025-04-30-negativity_signal,China,2025-04-30,tension,na,negativity_signal,56.6
China-2025-05-01-protest_signal,China,2025-05-01,tension,na,protest_signal,55.6
China-2025-05-01-crisis_discourse_signal,China,2025-05-01,tension,na,crisis_discourse_signal,60.9
China-2025-05-01-negativity_signal,China,2025-05-01,tension,na,negativity_signal,56.0
China-2025-05-02-protest_signal,China,2025-05-02,tension,na,protest_signal,52.8
China-2025-05-02-crisis_discourse_signal,China,2025-05-02,tension,na,crisis_discourse_signal,61.6
China-2025-05-02-negativity_signal,China,2025-05-02,tension,na,negativity_signal,54.2
China-2025-05-03-protest_signal,China,2025-05-03,tension,na,protest_signal,50.9
China-2025-05-03-crisis_discourse_signal,China,2025-05-03,tension,na,crisis_discourse_signal,57.8
China-2025-05-03-negativity_signal,China,2025-05-03,tension,na,negativity_signal,54.4
China-2025-05-04-protest_signal,China,2025-05-04,tension,na,protest_signal,51.6
China-2025-05-04-crisis_discourse_signal,China,2025-05-04,tension,na,crisis_discourse_signal,57.4
China-2025-05-04-negativity_signal,China,2025-05-04,tension,na,negativity_signal,56.3
China-2025-05-05-protest_signal,China,2025-05-05,tension,na,protest_signal,51.7
China-2025-05-05-crisis_discourse_signal,China,2025-05-05,tension,na,crisis_discourse_signal,60.0
China-2025-05-05-negativity_signal,China,2025-05-05,tension,na,negativity_signal,53.0
China-2025-05-06-protest_signal,China,2025-05-06,tension,na,protest_signal,53.1
China-2025-05-06-crisis_discourse_signal,China,2025-05-06,tension,na,crisis_discourse_signal,59.4
China-2025-05-06-negativity_signal,China,2025-05-06,tension,na,negativity_signal,56.2
China-2025-05-07-protest_signal,China,2025-05-07,tension,na,protest_signal,56.4
China-2025-05-07-crisis_discourse_signal,China,2025-05-07,tension,na,crisis_discourse_signal,61.5
China-2025-05-07-negativity_signal,China,2025-05-07,tension,na,negativity_signal,56.7
China-2025-05-08-protest_signal,China,2025-05-08,tension,na,protest_signal,56.2
China-2025-05-08-crisis_discourse_signal,China,2025-05-08,tension,na,crisis_discourse_signal,60.5
China-2025-05-08-negativity_signal,China,2025-05-08,tension,na,negativity_signal,60.5
China-2025-05-09-protest_signal,China,2025-05-09,tension,na,protest_signal,56.1
China-2025-05-09-crisis_discourse_signal,China,2025-05-09,tension,na,crisis_discourse_signal,62.8
China-2025-05-09-negativity_signal,China,2025-05-09,tension,na,negativity_signal,56.5
China-2025-05-10-protest_signal,China,2025-05-10,tension,na,protest_signal,53.8
China-2025-05-10-crisis_discourse_signal,China,2025-05-10,tension,na,crisis_discourse_signal,59.3
China-2025-05-10-negativity_signal,China,2025-05-10,tension,na,negativity_signal,58.0
China-2025-05-11-protest_signal,China,2025-05-11,tension,na,protest_signal,51.1
China-2025-05-11-crisis_discourse_signal,China,2025-05-11,tension,na,crisis_discourse_signal,58.3
China-2025-05-11-negativity_signal,China,2025-05-11,tension,na,negativity_signal,56.2
China-2025-05-12-protest_signal,China,2025-05-12,tension,na,protest_signal,54.2
China-2025-05-12-crisis_discourse_signal,China,2025-05-12,tension,na,crisis_discourse_signal,59.9
China-2025-05-12-negativity_signal,China,2025-05-12,tension,na,negativity_signal,56.3
China-2025-05-13-protest_signal,China,2025-05-13,tension,na,protest_signal,56.2
China-2025-05-13-crisis_discourse_signal,China,2025-05-13,tension,na,crisis_discourse_signal,60.0
China-2025-05-13-negativity_signal,China,2025-05-13,tension,na,negativity_signal,57.4
China-2025-05-14-protest_signal,China,2025-05-14,tension,na,protest_signal,57.5
China-2025-05-14-crisis_discourse_signal,China,2025-05-14,tension,na,crisis_discourse_signal,60.7
China-2025-05-14-negativity_signal,China,2025-05-14,tension,na,negativity_signal,56.9
China-2025-05-15-protest_signal,China,2025-05-15,tension,na,protest_signal,55.8
China-2025-05-15-crisis_discourse_signal,China,2025-05-15,tension,na,crisis_discourse_signal,60.9
China-2025-05-15-negativity_signal,China,2025-05-15,tension,na,negativity_signal,57.2
China-2025-05-16-protest_signal,China,2025-05-16,tension,na,protest_signal,54.9
China-2025-05-16-crisis_discourse_signal,China,2025-05-16,tension,na,crisis_discourse_signal,59.5
China-2025-05-16-negativity_signal,China,2025-05-16,tension,na,negativity_signal,58.7
