country,trajectory_profile,peak_count,direct_match_count,plausible_context_match_count,weak_match_count,no_credible_match_count,multi_event_overlap_count,credible_match_ratio,mean_match_confidence,global_wave_peak_ratio,country_specific_peak_ratio,alignment_maturity_score,alignment_maturity,alignment_commentary,top_linked_events,open_uncertainties
China,weak_country_specificity,3,0,1,0,0,2,1.0,0.651,0.0,0.0,0.6976,high,"credible=1.00, no_match=0.00, global_wave=0.00, multi_event_phase_detected",Taiwan strait signaling rise | Industrial demand slowdown phase,multi_event_overlap_manual_review
Germany,weak_country_specificity,3,1,0,2,0,0,0.3333,0.5353,0.0,0.0,0.4636,medium,"credible=0.33, no_match=0.00, global_wave=0.00",Coalition budget stress phase | Energy cost adjustment cycle,weak_match_share_present
Iran,broad_multi-layer_stress,3,1,0,1,0,1,0.6667,0.6768,0.0,0.0,0.6348,medium,"credible=0.67, no_match=0.00, global_wave=0.00, multi_event_phase_detected",Sanctions and currency pressure phase | Proxy confrontation escalation,weak_match_share_present|multi_event_overlap_manual_review
Israel,weak_country_specificity,3,1,1,1,0,0,0.6667,0.6222,0.0,0.0,0.6267,medium,"credible=0.67, no_match=0.00, global_wave=0.00",Gaza border escalation window | Domestic governance contestation | Regional alert and strike cycle,weak_match_share_present
Japan,weak_country_specificity,3,0,1,2,0,0,0.3333,0.4945,0.0,0.0,0.3742,low,"credible=0.33, no_match=0.00, global_wave=0.00",Yen volatility and policy response | Regional maritime alert pulse,weak_match_share_present
Nigeria,broad_multi-layer_stress,3,1,1,0,0,1,1.0,0.7272,0.0,0.0,0.7924,high,"credible=1.00, no_match=0.00, global_wave=0.00, multi_event_phase_detected",Election governance insecurity pulse | Food price and fiscal stress corridor,multi_event_overlap_manual_review
Poland,weak_country_specificity,3,1,0,2,0,0,0.3333,0.5526,0.0,0.0,0.4662,medium,"credible=0.33, no_match=0.00, global_wave=0.00",Domestic protest and institutional contest | Regional supply and inflation pressure,weak_match_share_present
Russia,broad_multi-layer_stress,3,2,1,0,0,0,1.0,0.7401,0.0,0.0,0.8777,high,"credible=1.00, no_match=0.00, global_wave=0.00",Domestic economic pressure corridor | Mobilization and security control cycle,
Taiwan,weak_country_specificity,3,3,0,0,0,0,1.0,0.7275,0.0,0.0,0.9591,high,"credible=1.00, no_match=0.00, global_wave=0.00",Cross strait election cycle pressure | Economic technology policy friction,
Ukraine,broad_multi-layer_stress,3,0,1,0,1,1,0.6667,0.5539,0.0,0.0,0.5331,medium,"credible=0.67, no_match=0.33, global_wave=0.00, multi_event_phase_detected",Renewed strike and mobility stress | Frontline intensity surge | Winter infrastructure pressure,peaks_without_credible_match|multi_event_overlap_manual_review
