scope,country,peak_count,direct_match_count,plausible_context_match_count,weak_match_count,no_credible_match_count,multi_event_overlap_count,credible_match_count,credible_match_ratio,no_credible_match_ratio,multi_event_overlap_ratio,mean_match_confidence,coverage_band
global,ALL,30,10,6,8,1,5,21,0.7,0.0333,0.1667,0.6281,high
country,China,3,0,1,0,0,2,3,1.0,0.0,0.6667,0.651,high
country,Germany,3,1,0,2,0,0,1,0.3333,0.0,0.0,0.5353,low
country,Iran,3,1,0,1,0,1,2,0.6667,0.0,0.3333,0.6768,moderate
country,Israel,3,1,1,1,0,0,2,0.6667,0.0,0.0,0.6222,moderate
country,Japan,3,0,1,2,0,0,1,0.3333,0.0,0.0,0.4945,low
country,Nigeria,3,1,1,0,0,1,3,1.0,0.0,0.3333,0.7272,high
country,Poland,3,1,0,2,0,0,1,0.3333,0.0,0.0,0.5526,low
country,Russia,3,2,1,0,0,0,3,1.0,0.0,0.0,0.7401,high
country,Taiwan,3,3,0,0,0,0,3,1.0,0.0,0.0,0.7275,high
country,Ukraine,3,0,1,0,1,1,2,0.6667,0.3333,0.3333,0.5539,moderate
