marker_id,country,period_start,period_end,event_label,event_type,support_weight,support_confidence,provenance
event_013,China,2025-09-01,2025-11-30,event_013,economic_governance,0.6,0.6,analyst_registry
event_014,China,2026-01-01,2026-04-30,event_014,security_signal,0.6,0.6,analyst_registry
event_001,Germany,2025-11-01,2025-12-31,event_001,domestic_politics,0.6,0.6,analyst_registry
event_002,Germany,2026-02-01,2026-03-31,event_002,domestic_protest,0.6,0.6,analyst_registry
event_005,Iran,2025-11-01,2026-01-31,event_005,external_conflict,0.6,0.6,analyst_registry
event_006,Iran,2026-02-01,2026-03-31,event_006,security_politics,0.6,0.6,analyst_registry
event_003,Israel,2025-10-01,2025-11-30,event_003,security_escalation,0.6,0.6,analyst_registry
event_004,Israel,2026-03-01,2026-04-30,event_004,security_escalation,0.6,0.6,analyst_registry
event_011,Japan,2025-08-01,2025-10-31,event_011,economic_policy,0.6,0.6,analyst_registry
event_012,Japan,2026-01-01,2026-03-31,event_012,security_policy,0.6,0.6,analyst_registry
event_019,Nigeria,2025-09-01,2025-12-31,event_019,security_economic,0.6,0.6,analyst_registry
event_020,Nigeria,2026-01-01,2026-04-30,event_020,governance_security,0.6,0.6,analyst_registry
event_017,Poland,2025-09-01,2025-11-30,event_017,security_policy,0.6,0.6,analyst_registry
event_018,Poland,2026-02-01,2026-03-31,event_018,domestic_politics,0.6,0.6,analyst_registry
event_009,Russia,2025-10-01,2025-12-31,event_009,war_phase,0.6,0.6,analyst_registry
event_010,Russia,2026-02-01,2026-04-30,event_010,security_politics,0.6,0.6,analyst_registry
event_015,Taiwan,2025-10-01,2025-12-31,event_015,security_signal,0.6,0.6,analyst_registry
event_016,Taiwan,2026-02-01,2026-04-30,event_016,security_politics,0.6,0.6,analyst_registry
event_007,Ukraine,2025-10-01,2025-12-31,event_007,war_phase,0.6,0.6,analyst_registry
event_008,Ukraine,2026-02-01,2026-04-30,event_008,war_phase,0.6,0.6,analyst_registry
