country,group,target_period_start,target_period_end,group_score,status,source_count,expected_source_count,source_coverage_ratio,confidence_score,confidence_level,coverage_component,recency_component,completeness_component,consistency_component,sources_used
China,event,2025-04-23,2026-04-13,43.44,ok,1,1,1.0,88.14,hoch,100.0,94.58,100.0,70.0,gdelt_event
China,narrative,2025-04-23,2026-04-13,35.13,ok,1,1,1.0,89.37,hoch,100.0,99.58,75.9,70.0,narrative_input
China,governance,2025-04-23,2026-04-13,39.62,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,governance_input
China,market_food,2025-04-23,2026-04-13,18.23,ok,2,2,1.0,96.65,hoch,100.0,99.58,93.0,90.03,"fao_ffpi,fao_fpma"
China,shock,2025-04-23,2026-04-13,34.86,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,gdacs
China,displacement,2025-04-23,2026-04-13,40.26,ok,1,1,1.0,93.14,hoch,100.0,99.58,91.0,70.0,unhcr
China,structural,2025-04-23,2026-04-13,51.71,ok,1,1,1.0,82.02,hoch,100.0,57.08,89.0,70.0,un_comtrade
Germany,event,2025-04-23,2026-04-13,22.46,ok,1,1,1.0,88.14,hoch,100.0,94.58,100.0,70.0,gdelt_event
Germany,narrative,2025-04-23,2026-04-13,24.19,ok,1,1,1.0,87.54,hoch,100.0,99.58,68.6,70.0,narrative_input
Germany,governance,2025-04-23,2026-04-13,22.35,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,governance_input
Germany,market_food,2025-04-23,2026-04-13,24.82,ok,2,2,1.0,97.06,hoch,100.0,99.58,93.0,92.75,"fao_ffpi,fao_fpma"
Germany,shock,2025-04-23,2026-04-13,30.51,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,gdacs
Germany,displacement,2025-04-23,2026-04-13,21.68,ok,1,1,1.0,93.14,hoch,100.0,99.58,91.0,70.0,unhcr
Germany,structural,2025-04-23,2026-04-13,12.86,ok,1,1,1.0,82.02,hoch,100.0,57.08,89.0,70.0,un_comtrade
Iran,event,2025-04-23,2026-04-13,65.75,ok,1,1,1.0,88.14,hoch,100.0,94.58,100.0,70.0,gdelt_event
Iran,narrative,2025-04-23,2026-04-13,63.94,ok,1,1,1.0,91.62,hoch,100.0,99.58,84.9,70.0,narrative_input
Iran,governance,2025-04-23,2026-04-13,63.13,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,governance_input
Iran,market_food,2025-04-23,2026-04-13,18.78,ok,2,2,1.0,96.56,hoch,100.0,99.58,93.0,89.43,"fao_ffpi,fao_fpma"
Iran,shock,2025-04-23,2026-04-13,26.95,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,gdacs
Iran,displacement,2025-04-23,2026-04-13,63.78,ok,1,1,1.0,93.14,hoch,100.0,99.58,91.0,70.0,unhcr
Iran,structural,2025-04-23,2026-04-13,100.0,ok,1,1,1.0,82.02,hoch,100.0,57.08,89.0,70.0,un_comtrade
Israel,event,2025-04-23,2026-04-13,47.21,ok,1,1,1.0,88.14,hoch,100.0,94.58,100.0,70.0,gdelt_event
Israel,narrative,2025-04-23,2026-04-13,37.02,ok,1,1,1.0,90.02,hoch,100.0,99.58,78.5,70.0,narrative_input
Israel,governance,2025-04-23,2026-04-13,46.2,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,governance_input
Israel,market_food,2025-04-23,2026-04-13,17.06,ok,2,2,1.0,95.35,hoch,100.0,99.58,93.0,81.39,"fao_ffpi,fao_fpma"
Israel,shock,2025-04-23,2026-04-13,28.56,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,gdacs
Israel,displacement,2025-04-23,2026-04-13,47.43,ok,1,1,1.0,93.14,hoch,100.0,99.58,91.0,70.0,unhcr
Israel,structural,2025-04-23,2026-04-13,71.14,ok,1,1,1.0,82.02,hoch,100.0,57.08,89.0,70.0,un_comtrade
Japan,event,2025-04-23,2026-04-13,18.65,ok,1,1,1.0,88.14,hoch,100.0,94.58,100.0,70.0,gdelt_event
Japan,narrative,2025-04-23,2026-04-13,23.83,ok,1,1,1.0,87.17,hoch,100.0,99.58,67.1,70.0,narrative_input
Japan,governance,2025-04-23,2026-04-13,18.99,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,governance_input
Japan,market_food,2025-04-23,2026-04-13,15.6,ok,2,2,1.0,97.08,hoch,100.0,99.58,93.0,92.9,"fao_ffpi,fao_fpma"
Japan,shock,2025-04-23,2026-04-13,21.66,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,gdacs
Japan,displacement,2025-04-23,2026-04-13,17.79,ok,1,1,1.0,93.14,hoch,100.0,99.58,91.0,70.0,unhcr
Japan,structural,2025-04-23,2026-04-13,4.0,ok,1,1,1.0,82.02,hoch,100.0,57.08,89.0,70.0,un_comtrade
Nigeria,event,2025-04-23,2026-04-13,58.18,ok,1,1,1.0,88.14,hoch,100.0,94.58,100.0,70.0,gdelt_event
Nigeria,narrative,2025-04-23,2026-04-13,59.31,ok,1,1,1.0,90.89,hoch,100.0,99.58,82.0,70.0,narrative_input
Nigeria,governance,2025-04-23,2026-04-13,55.34,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,governance_input
Nigeria,market_food,2025-04-23,2026-04-13,20.16,ok,2,2,1.0,96.33,hoch,100.0,99.58,93.0,87.93,"fao_ffpi,fao_fpma"
Nigeria,shock,2025-04-23,2026-04-13,29.88,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,gdacs
Nigeria,displacement,2025-04-23,2026-04-13,56.41,ok,1,1,1.0,93.14,hoch,100.0,99.58,91.0,70.0,unhcr
Nigeria,structural,2025-04-23,2026-04-13,90.57,ok,1,1,1.0,82.02,hoch,100.0,57.08,89.0,70.0,un_comtrade
Poland,event,2025-04-23,2026-04-13,37.66,ok,1,1,1.0,88.14,hoch,100.0,94.58,100.0,70.0,gdelt_event
Poland,narrative,2025-04-23,2026-04-13,33.54,ok,1,1,1.0,88.79,hoch,100.0,99.58,73.6,70.0,narrative_input
Poland,governance,2025-04-23,2026-04-13,33.99,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,governance_input
Poland,market_food,2025-04-23,2026-04-13,12.17,ok,2,2,1.0,96.15,hoch,100.0,99.58,93.0,86.73,"fao_ffpi,fao_fpma"
Poland,shock,2025-04-23,2026-04-13,22.71,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,gdacs
Poland,displacement,2025-04-23,2026-04-13,34.24,ok,1,1,1.0,93.14,hoch,100.0,99.58,91.0,70.0,unhcr
Poland,structural,2025-04-23,2026-04-13,37.43,ok,1,1,1.0,82.02,hoch,100.0,57.08,89.0,70.0,un_comtrade
Russia,event,2025-04-23,2026-04-13,58.2,ok,1,1,1.0,88.14,hoch,100.0,94.58,100.0,70.0,gdelt_event
Russia,narrative,2025-04-23,2026-04-13,58.47,ok,1,1,1.0,90.77,hoch,100.0,99.58,81.5,70.0,narrative_input
Russia,governance,2025-04-23,2026-04-13,53.94,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,governance_input
