country,peak_rank,period_label,target_period_end,fusion_score,prominence_score,peak_width_periods,rise_slope,fall_slope,separation_periods,peak_quality_score,dominant_group,second_group,support_profile,support_breadth_ratio,dominant_group_share,fresh_contribution_share,stale_contribution_share,global_component_score,country_specific_component_score,global_share,country_specific_share,market_food_global_pressure,market_food_local_pressure,attribution_label,peak_confidence_score,peak_confidence_level,event_support_status,event_marker_count,event_marker_ids
China,1,2026-02,2026-02-28,65.42,10.81,1,10.81,19.22,1,11.0905,market_food,shock,narrow,0.4286,0.2369,0.8089,0.0,60.92,4.5,0.9312,0.0688,0.2189,0.018,model_driven_peak,0.6089,medium,weakly_supported,1,event_014
China,2,2025-08,2025-08-31,56.33,3.71,1,3.71,12.35,5,4.735,market_food,event,broad,0.7143,0.2565,0.8089,0.0,56.33,0.0,1.0,0.0,0.2284,0.0281,model_driven_peak,0.6111,medium,not_event_validated,0,
China,3,2026-01,2026-01-31,54.61,0.0,1,7.32,0.0,1,2.1101,market_food,event,broad,0.7143,0.2409,0.8089,0.0,54.61,0.0,1.0,0.0,0.2323,0.0085,model_driven_peak,0.6705,high,weakly_supported,1,event_014
Germany,1,2025-12,2025-12-31,47.74,4.8,1,11.01,4.8,1,5.662,market_food,shock,narrow,0.2857,0.3323,0.8449,0.0,47.74,0.0,1.0,0.0,0.2103,0.122,model_driven_peak,0.5592,medium,weakly_supported,1,event_001
Germany,2,2025-06,2025-06-30,43.54,4.24,1,5.26,4.24,5,4.12,market_food,shock,narrow,0.2857,0.3326,0.8449,0.0,43.54,0.0,1.0,0.0,0.2184,0.1142,model_driven_peak,0.4998,medium,not_event_validated,0,
Germany,3,2025-11,2025-11-30,36.73,0.0,1,12.28,0.0,1,2.9233,market_food,shock,broad,0.5714,0.2667,0.8449,0.0,36.73,0.0,1.0,0.0,0.1519,0.1148,model_driven_peak,0.6392,medium,weakly_supported,1,event_001
Iran,1,2025-08,2025-08-31,77.97,1.24,1,1.24,18.22,2,3.763,market_food,event,broad,1.0,0.1888,0.8066,0.0,58.841,19.129,0.7547,0.2453,0.2284,0.0,model_driven_peak,0.756,high,not_event_validated,0,
Iran,2,2025-06,2025-06-30,76.73,0.0,1,14.32,0.0,2,3.7313,market_food,event,broad,1.0,0.1918,0.8066,0.0,54.962,21.768,0.7163,0.2837,0.2184,0.0,model_driven_peak,0.7662,high,not_event_validated,0,
Iran,3,2025-12,2025-12-31,70.23,0.0,1,10.08,0.0,4,2.8183,event,governance,broad,0.8571,0.1687,0.8066,0.0,55.479,14.751,0.79,0.21,0.2103,0.0,weakly_supported_peak,0.766,high,weakly_supported,1,event_005
Israel,1,2025-12,2025-12-31,70.28,0.0,1,14.73,0.0,1,3.7488,market_food,event,broad,0.8571,0.2186,0.8112,0.0,55.479,14.801,0.7894,0.2106,0.2103,0.0084,model_driven_peak,0.7078,high,not_event_validated,0,
