country,period_label,target_period_end,peak_rank,event_support_status,event_supported,event_marker_count,event_marker_ids,event_support_weight,event_support_confidence,event_label_summary
China,2026-02,2026-02-28,1,weakly_supported,False,1,event_014,0.6,0.6,event_014
China,2025-08,2025-08-31,2,not_event_validated,False,0,,0.0,0.0,
China,2026-01,2026-01-31,3,weakly_supported,False,1,event_014,0.6,0.6,event_014
Germany,2025-12,2025-12-31,1,weakly_supported,False,1,event_001,0.6,0.6,event_001
Germany,2025-06,2025-06-30,2,not_event_validated,False,0,,0.0,0.0,
Germany,2025-11,2025-11-30,3,weakly_supported,False,1,event_001,0.6,0.6,event_001
Iran,2025-08,2025-08-31,1,not_event_validated,False,0,,0.0,0.0,
Iran,2025-06,2025-06-30,2,not_event_validated,False,0,,0.0,0.0,
Iran,2025-12,2025-12-31,3,weakly_supported,False,1,event_005,0.6,0.6,event_005
Israel,2025-12,2025-12-31,1,not_event_validated,False,0,,0.0,0.0,
Israel,2025-07,2025-07-31,2,not_event_validated,False,0,,0.0,0.0,
Israel,2026-01,2026-01-31,3,not_event_validated,False,0,,0.0,0.0,
Japan,2025-12,2025-12-31,1,not_event_validated,False,0,,0.0,0.0,
Japan,2025-06,2025-06-30,2,not_event_validated,False,0,,0.0,0.0,
Japan,2025-07,2025-07-31,3,not_event_validated,False,0,,0.0,0.0,
Nigeria,2025-07,2025-07-31,1,not_event_validated,False,0,,0.0,0.0,
Nigeria,2026-02,2026-02-28,2,weakly_supported,False,1,event_020,0.6,0.6,event_020
Nigeria,2026-01,2026-01-31,3,weakly_supported,False,1,event_020,0.6,0.6,event_020
Poland,2026-02,2026-02-28,1,weakly_supported,False,1,event_018,0.6,0.6,event_018
Poland,2025-08,2025-08-31,2,not_event_validated,False,0,,0.0,0.0,
Poland,2026-03,2026-03-31,3,weakly_supported,False,1,event_018,0.6,0.6,event_018
Russia,2026-02,2026-02-28,1,weakly_supported,False,1,event_010,0.6,0.6,event_010
Russia,2025-08,2025-08-31,2,not_event_validated,False,0,,0.0,0.0,
Russia,2025-07,2025-07-31,3,not_event_validated,False,0,,0.0,0.0,
Taiwan,2025-08,2025-08-31,1,not_event_validated,False,0,,0.0,0.0,
Taiwan,2026-03,2026-03-31,2,weakly_supported,False,1,event_016,0.6,0.6,event_016
Taiwan,2026-02,2026-02-28,3,weakly_supported,False,1,event_016,0.6,0.6,event_016
Ukraine,2026-02,2026-02-28,1,weakly_supported,False,1,event_008,0.6,0.6,event_008
Ukraine,2025-08,2025-08-31,2,not_event_validated,False,0,,0.0,0.0,
Ukraine,2025-07,2025-07-31,3,not_event_validated,False,0,,0.0,0.0,
