country,source_id,group,layer,signal_family,target_period_start,target_period_end,native_period_start,native_period_end,raw_value,normalized_value,unit,provenance,quality_completeness,age_days
China,unhcr,displacement,Displacement,displacement_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.447,0.4026,displacement_index,UNHCR_snapshot_v43,0.91,1
China,gdelt_event,event,Event,observed_conflict_disruption_pressure,2025-04-23,2026-04-13,2026-03-01,2026-03-31,0.6308,0.4607,event_pressure_index,GDELT_event_monthly_2026-03,1.0,13
China,governance_input,governance,Governance,governance_instability_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.4601,0.3962,governance_instability_index,GOVERNANCE_snapshot_v43,0.9,1
China,fao_ffpi,market_food,Market/Food,ffpi_price_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,121.9,0.257,index_points,FAO_FFPI_snapshot_v43,0.95,1
China,fao_fpma,market_food,Market/Food,fpma_food_warning_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,54.7,0.0909,warning_index,FAO_FPMA_snapshot_v43,0.91,1
China,narrative_input,narrative,Narrative,narrative_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.2444,0.3513,narrative_index,NARRATIVE_snapshot_v43,0.759,1
China,gdacs,shock,Shock,disaster_shock_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.2651,0.3486,shock_index,GDACS_snapshot_v43,0.9,1
China,un_comtrade,structural,Structural,trade_dependency_exposure,2025-04-23,2026-04-13,2025-01-01,2025-12-31,0.531,0.5171,dependency_share,UN_COMTRADE_snapshot_v43,0.89,103
Germany,unhcr,displacement,Displacement,displacement_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.3183,0.2168,displacement_index,UNHCR_snapshot_v43,0.91,1
Germany,gdelt_event,event,Event,observed_conflict_disruption_pressure,2025-04-23,2026-04-13,2026-03-01,2026-03-31,0.5266,0.2382,event_pressure_index,GDELT_event_monthly_2026-03,1.0,13
Germany,governance_input,governance,Governance,governance_instability_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.2796,0.2235,governance_instability_index,GOVERNANCE_snapshot_v43,0.9,1
Germany,fao_ffpi,market_food,Market/Food,ffpi_price_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,106.3,0.3026,index_points,FAO_FFPI_snapshot_v43,0.95,1
Germany,fao_fpma,market_food,Market/Food,fpma_food_warning_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,32.4,0.1818,warning_index,FAO_FPMA_snapshot_v43,0.91,1
Germany,narrative_input,narrative,Narrative,narrative_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.0667,0.2419,narrative_index,NARRATIVE_snapshot_v43,0.686,1
Germany,gdacs,shock,Shock,disaster_shock_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.0522,0.3051,shock_index,GDACS_snapshot_v43,0.9,1
Germany,un_comtrade,structural,Structural,trade_dependency_exposure,2025-04-23,2026-04-13,2025-01-01,2025-12-31,0.395,0.1286,dependency_share,UN_COMTRADE_snapshot_v43,0.89,103
Iran,unhcr,displacement,Displacement,displacement_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.61,0.6378,displacement_index,UNHCR_snapshot_v43,0.91,1
Iran,gdelt_event,event,Event,observed_conflict_disruption_pressure,2025-04-23,2026-04-13,2026-03-01,2026-03-31,0.7416,0.6974,event_pressure_index,GDELT_event_monthly_2026-03,1.0,13
Iran,governance_input,governance,Governance,governance_instability_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.7057,0.6313,governance_instability_index,GOVERNANCE_snapshot_v43,0.9,1
Iran,fao_ffpi,market_food,Market/Food,ffpi_price_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,141.1,0.267,index_points,FAO_FFPI_snapshot_v43,0.95,1
Iran,fao_fpma,market_food,Market/Food,fpma_food_warning_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,82.3,0.0909,warning_index,FAO_FPMA_snapshot_v43,0.91,1
Iran,narrative_input,narrative,Narrative,narrative_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.7123,0.6394,narrative_index,NARRATIVE_snapshot_v43,0.849,1
Iran,gdacs,shock,Shock,disaster_shock_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.7311,0.2695,shock_index,GDACS_snapshot_v43,0.9,1
Iran,un_comtrade,structural,Structural,trade_dependency_exposure,2025-04-23,2026-04-13,2025-01-01,2025-12-31,0.723,1.0,dependency_share,UN_COMTRADE_snapshot_v43,0.89,103
Israel,unhcr,displacement,Displacement,displacement_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.4967,0.4743,displacement_index,UNHCR_snapshot_v43,0.91,1
Israel,gdelt_event,event,Event,observed_conflict_disruption_pressure,2025-04-23,2026-04-13,2026-03-01,2026-03-31,0.6495,0.5007,event_pressure_index,GDELT_event_monthly_2026-03,1.0,13
Israel,governance_input,governance,Governance,governance_instability_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.5288,0.462,governance_instability_index,GOVERNANCE_snapshot_v43,0.9,1
Israel,fao_ffpi,market_food,Market/Food,ffpi_price_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,127.5,0.3101,index_points,FAO_FFPI_snapshot_v43,0.95,1
Israel,fao_fpma,market_food,Market/Food,fpma_food_warning_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,62.7,0.0,warning_index,FAO_FPMA_snapshot_v43,0.91,1
Israel,narrative_input,narrative,Narrative,narrative_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.2751,0.3702,narrative_index,NARRATIVE_snapshot_v43,0.785,1
Israel,gdacs,shock,Shock,disaster_shock_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.3285,0.2856,shock_index,GDACS_snapshot_v43,0.9,1
Israel,un_comtrade,structural,Structural,trade_dependency_exposure,2025-04-23,2026-04-13,2025-01-01,2025-12-31,0.599,0.7114,dependency_share,UN_COMTRADE_snapshot_v43,0.89,103
Japan,unhcr,displacement,Displacement,displacement_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.2913,0.1779,displacement_index,UNHCR_snapshot_v43,0.91,1
Japan,gdelt_event,event,Event,observed_conflict_disruption_pressure,2025-04-23,2026-04-13,2026-03-01,2026-03-31,0.5077,0.1978,event_pressure_index,GDELT_event_monthly_2026-03,1.0,13
Japan,governance_input,governance,Governance,governance_instability_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.2445,0.1899,governance_instability_index,GOVERNANCE_snapshot_v43,0.9,1
Japan,fao_ffpi,market_food,Market/Food,ffpi_price_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,103.1,0.2093,index_points,FAO_FFPI_snapshot_v43,0.95,1
Japan,fao_fpma,market_food,Market/Food,fpma_food_warning_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,27.8,0.0909,warning_index,FAO_FPMA_snapshot_v43,0.91,1
Japan,narrative_input,narrative,Narrative,narrative_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.0609,0.2383,narrative_index,NARRATIVE_snapshot_v43,0.671,1
Japan,gdacs,shock,Shock,disaster_shock_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.0423,0.2166,shock_index,GDACS_snapshot_v43,0.9,1
Japan,un_comtrade,structural,Structural,trade_dependency_exposure,2025-04-23,2026-04-13,2025-01-01,2025-12-31,0.364,0.04,dependency_share,UN_COMTRADE_snapshot_v43,0.89,103
Nigeria,unhcr,displacement,Displacement,displacement_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.5589,0.5641,displacement_index,UNHCR_snapshot_v43,0.91,1
Nigeria,gdelt_event,event,Event,observed_conflict_disruption_pressure,2025-04-23,2026-04-13,2026-03-01,2026-03-31,0.704,0.6171,event_pressure_index,GDELT_event_monthly_2026-03,1.0,13
Nigeria,governance_input,governance,Governance,governance_instability_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.6243,0.5534,governance_instability_index,GOVERNANCE_snapshot_v43,0.9,1
Nigeria,fao_ffpi,market_food,Market/Food,ffpi_price_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,134.9,0.2921,index_points,FAO_FFPI_snapshot_v43,0.95,1
Nigeria,fao_fpma,market_food,Market/Food,fpma_food_warning_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,73.5,0.0909,warning_index,FAO_FPMA_snapshot_v43,0.91,1
Nigeria,narrative_input,narrative,Narrative,narrative_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.6371,0.5931,narrative_index,NARRATIVE_snapshot_v43,0.82,1
Nigeria,gdacs,shock,Shock,disaster_shock_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.6061,0.2988,shock_index,GDACS_snapshot_v43,0.9,1
Nigeria,un_comtrade,structural,Structural,trade_dependency_exposure,2025-04-23,2026-04-13,2025-01-01,2025-12-31,0.667,0.9057,dependency_share,UN_COMTRADE_snapshot_v43,0.89,103
Poland,unhcr,displacement,Displacement,displacement_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.4053,0.3424,displacement_index,UNHCR_snapshot_v43,0.91,1
Poland,gdelt_event,event,Event,observed_conflict_disruption_pressure,2025-04-23,2026-04-13,2026-03-01,2026-03-31,0.6021,0.3994,event_pressure_index,GDELT_event_monthly_2026-03,1.0,13
Poland,governance_input,governance,Governance,governance_instability_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.4012,0.3399,governance_instability_index,GOVERNANCE_snapshot_v43,0.9,1
Poland,fao_ffpi,market_food,Market/Food,ffpi_price_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,117.0,0.2212,index_points,FAO_FFPI_snapshot_v43,0.95,1
Poland,fao_fpma,market_food,Market/Food,fpma_food_warning_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,47.7,0.0,warning_index,FAO_FPMA_snapshot_v43,0.91,1
Poland,narrative_input,narrative,Narrative,narrative_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.2186,0.3354,narrative_index,NARRATIVE_snapshot_v43,0.736,1
Poland,gdacs,shock,Shock,disaster_shock_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.2145,0.2271,shock_index,GDACS_snapshot_v43,0.9,1
Poland,un_comtrade,structural,Structural,trade_dependency_exposure,2025-04-23,2026-04-13,2025-01-01,2025-12-31,0.481,0.3743,dependency_share,UN_COMTRADE_snapshot_v43,0.89,103
Russia,unhcr,displacement,Displacement,displacement_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.5479,0.5482,displacement_index,UNHCR_snapshot_v43,0.91,1
Russia,gdelt_event,event,Event,observed_conflict_disruption_pressure,2025-04-23,2026-04-13,2026-03-01,2026-03-31,0.7041,0.6173,event_pressure_index,GDELT_event_monthly_2026-03,1.0,13
Russia,governance_input,governance,Governance,governance_instability_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.6097,0.5394,governance_instability_index,GOVERNANCE_snapshot_v43,0.9,1
Russia,fao_ffpi,market_food,Market/Food,ffpi_price_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,133.8,0.2954,index_points,FAO_FFPI_snapshot_v43,0.95,1
Russia,fao_fpma,market_food,Market/Food,fpma_food_warning_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,71.9,0.0909,warning_index,FAO_FPMA_snapshot_v43,0.91,1
Russia,narrative_input,narrative,Narrative,narrative_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.6235,0.5847,narrative_index,NARRATIVE_snapshot_v43,0.815,1
Russia,gdacs,shock,Shock,disaster_shock_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.5843,0.3006,shock_index,GDACS_snapshot_v43,0.9,1
Russia,un_comtrade,structural,Structural,trade_dependency_exposure,2025-04-23,2026-04-13,2025-01-01,2025-12-31,0.649,0.8543,dependency_share,UN_COMTRADE_snapshot_v43,0.89,103
Taiwan,unhcr,displacement,Displacement,displacement_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.4878,0.4615,displacement_index,UNHCR_snapshot_v43,0.91,1
Taiwan,gdelt_event,event,Event,observed_conflict_disruption_pressure,2025-04-23,2026-04-13,2026-03-01,2026-03-31,0.6655,0.5348,event_pressure_index,GDELT_event_monthly_2026-03,1.0,13
Taiwan,governance_input,governance,Governance,governance_instability_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.5246,0.458,governance_instability_index,GOVERNANCE_snapshot_v43,0.9,1
Taiwan,fao_ffpi,market_food,Market/Food,ffpi_price_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,127.1,0.3332,index_points,FAO_FFPI_snapshot_v43,0.95,1
Taiwan,fao_fpma,market_food,Market/Food,fpma_food_warning_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,62.2,0.2727,warning_index,FAO_FPMA_snapshot_v43,0.91,1
Taiwan,narrative_input,narrative,Narrative,narrative_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.2729,0.3688,narrative_index,NARRATIVE_snapshot_v43,0.783,1
Taiwan,gdacs,shock,Shock,disaster_shock_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.3246,0.2806,shock_index,GDACS_snapshot_v43,0.9,1
Taiwan,un_comtrade,structural,Structural,trade_dependency_exposure,2025-04-23,2026-04-13,2025-01-01,2025-12-31,0.562,0.6057,dependency_share,UN_COMTRADE_snapshot_v43,0.89,103
Ukraine,unhcr,displacement,Displacement,displacement_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.5844,0.6009,displacement_index,UNHCR_snapshot_v43,0.91,1
Ukraine,gdelt_event,event,Event,observed_conflict_disruption_pressure,2025-04-23,2026-04-13,2026-03-01,2026-03-31,0.7338,0.6807,event_pressure_index,GDELT_event_monthly_2026-03,1.0,13
Ukraine,governance_input,governance,Governance,governance_instability_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.6677,0.5949,governance_instability_index,GOVERNANCE_snapshot_v43,0.9,1
Ukraine,fao_ffpi,market_food,Market/Food,ffpi_price_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,138.2,0.293,index_points,FAO_FFPI_snapshot_v43,0.95,1
Ukraine,fao_fpma,market_food,Market/Food,fpma_food_warning_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,78.2,0.0909,warning_index,FAO_FPMA_snapshot_v43,0.91,1
Ukraine,narrative_input,narrative,Narrative,narrative_pressure_index,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.6772,0.6178,narrative_index,NARRATIVE_snapshot_v43,0.836,1
Ukraine,gdacs,shock,Shock,disaster_shock_pressure,2025-04-23,2026-04-13,2026-04-01,2026-04-12,0.6721,0.2989,shock_index,GDACS_snapshot_v43,0.9,1
Ukraine,un_comtrade,structural,Structural,trade_dependency_exposure,2025-04-23,2026-04-13,2025-01-01,2025-12-31,0.686,0.96,dependency_share,UN_COMTRADE_snapshot_v43,0.89,103
