country,trajectory_profile,peak_count,event_supported_peak_ratio,weakly_supported_peak_ratio,globally_co_moving_peak_ratio,model_driven_peak_ratio,country_specific_peak_ratio,mean_global_share,mean_country_specific_share,dominant_peak_group,mean_peak_confidence_score,differentiation_flag
China,weak_country_specificity,3,0.0,0.0,0.0,1.0,0.0,0.9771,0.0229,market_food,0.6302,False
Germany,weak_country_specificity,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,market_food,0.5661,False
Iran,broad_multi-layer_stress,3,0.0,0.3333,0.0,0.6667,0.0,0.7537,0.2463,market_food,0.7627,False
Israel,weak_country_specificity,3,0.0,0.0,0.0,1.0,0.0,0.8499,0.1501,market_food,0.6784,False
Japan,weak_country_specificity,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,market_food,0.4966,False
Nigeria,broad_multi-layer_stress,3,0.0,0.6667,0.0,0.3333,0.0,0.7813,0.2187,market_food,0.737,False
Poland,weak_country_specificity,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,market_food,0.5941,False
Russia,broad_multi-layer_stress,3,0.0,0.0,0.0,1.0,0.0,0.8154,0.1846,market_food,0.6939,False
Taiwan,weak_country_specificity,3,0.0,0.0,0.0,1.0,0.0,0.9173,0.0827,market_food,0.6721,False
Ukraine,broad_multi-layer_stress,3,0.0,0.3333,0.0,0.6667,0.0,0.7753,0.2247,market_food,0.7436,False
