rank,country,cluster,date,rolling_value,is_valid,valid_days,min_valid_days,coverage_ratio,stage,trend,confidence_score,confidence_level,evidence_tier,snapshot_relation,snapshot_source_mode,snapshot_source_date,baseline_marker,delta_previous_numeric,abs_delta_previous_numeric,stage_priority,top_driver_1_name,top_driver_1_value,top_driver_2_name,top_driver_2_value,dominant_driver,driver_concentration_ratio,candidate_reason
1,Taiwan,tension,2026-01-22,60.9571,True,7,5,1.0,hoch,zunehmend,86.33,hoch,full_validity,before_snapshot_source,historical_valid_endpoint,2026-04-13,False,2.0857,2.0857,2,crisis_subscore,67.0286,negativity_subscore,60.2714,,0.3665,high_stage;high_rolling_value
2,China,tension,2026-02-18,69.0524,True,7,5,1.0,hoch,zunehmend,89.17,hoch,full_validity,before_snapshot_source,historical_valid_endpoint,2026-04-13,False,1.6143,1.6143,2,negativity_subscore,71.8143,crisis_subscore,71.5857,,0.3467,high_stage;high_rolling_value
3,Nigeria,escalation,2026-03-15,72.3089,True,7,5,1.0,hoch,rückläufig,90.31,hoch,full_validity,before_snapshot_source,historical_valid_endpoint,2026-04-13,False,-1.5857,1.5857,2,peak_subscore,77.7,external_dynamics_subscore,72.1095,,0.2686,high_stage;high_rolling_value
4,China,tension,2026-02-25,67.5286,True,7,5,1.0,hoch,rückläufig,88.64,hoch,full_validity,before_snapshot_source,historical_valid_endpoint,2026-04-13,False,-1.4666,1.4666,2,crisis_subscore,71.1857,negativity_subscore,67.7,,0.3514,high_stage;high_rolling_value
5,Israel,escalation,2026-02-11,73.9464,True,7,5,1.0,hoch,rückläufig,90.88,hoch,full_validity,before_snapshot_source,historical_valid_endpoint,2026-04-13,False,-1.2572,1.2572,2,peak_subscore,80.7714,external_dynamics_subscore,79.0857,,0.2731,high_stage;high_rolling_value
6,Taiwan,tension,2026-01-29,62.4714,True,7,5,1.0,hoch,stabil,86.86,hoch,full_validity,before_snapshot_source,historical_valid_endpoint,2026-04-13,False,-1.2238,1.2238,2,crisis_subscore,65.8571,negativity_subscore,62.0,,0.3514,high_stage;high_rolling_value
7,Ukraine,tension,2026-01-27,89.881,True,7,5,1.0,sehr hoch,stabil,96.46,hoch,full_validity,before_snapshot_source,historical_valid_endpoint,2026-04-13,False,1.1191,1.1191,3,crisis_subscore,95.0429,negativity_subscore,88.6286,,0.3525,high_stage;high_rolling_value
8,Ukraine,tension,2026-03-14,89.0095,True,7,5,1.0,sehr hoch,stabil,96.15,hoch,full_validity,before_snapshot_source,historical_valid_endpoint,2026-04-13,False,-1.1143,1.1143,3,crisis_subscore,94.2143,negativity_subscore,89.0143,,0.3528,high_stage;high_rolling_value
9,Nigeria,tension,2026-01-14,86.6857,True,7,5,1.0,sehr hoch,stabil,95.34,hoch,full_validity,before_snapshot_source,historical_valid_endpoint,2026-04-13,False,1.0476,1.0476,3,crisis_subscore,91.6,negativity_subscore,86.1143,,0.3522,high_stage;high_rolling_value
10,Ukraine,tension,2026-01-25,87.8571,True,7,5,1.0,sehr hoch,stabil,95.75,hoch,full_validity,before_snapshot_source,historical_valid_endpoint,2026-04-13,False,1.0142,1.0142,3,crisis_subscore,92.9286,negativity_subscore,86.6429,,0.3526,high_stage;high_rolling_value
11,Nigeria,tension,2026-03-09,83.3286,True,7,5,1.0,sehr hoch,stabil,94.17,hoch,full_validity,before_snapshot_source,historical_valid_endpoint,2026-04-13,False,-1.0095,1.0095,3,crisis_subscore,87.8,negativity_subscore,82.9714,,0.3512,high_stage;high_rolling_value
