score_id,country,date,cluster,subcluster,score_name,score_value
China-2025-04-22-escalation-internal_dynamics_subscore,China,2025-04-22,escalation,internal,internal_dynamics_subscore,47.5
China-2025-04-22-escalation-external_dynamics_subscore,China,2025-04-22,escalation,external,external_dynamics_subscore,58.13333333333333
China-2025-04-22-escalation-peak_subscore,China,2025-04-22,escalation,all,peak_subscore,60.5
China-2025-04-22-escalation-intensity_subscore,China,2025-04-22,escalation,all,intensity_subscore,52.81666666666666
China-2025-04-22-tension-protest_subscore,China,2025-04-22,tension,na,protest_subscore,52.9
China-2025-04-22-tension-crisis_subscore,China,2025-04-22,tension,na,crisis_subscore,54.8
China-2025-04-22-tension-negativity_subscore,China,2025-04-22,tension,na,negativity_subscore,55.7
China-2025-04-23-escalation-internal_dynamics_subscore,China,2025-04-23,escalation,internal,internal_dynamics_subscore,48.233333333333334
China-2025-04-23-escalation-external_dynamics_subscore,China,2025-04-23,escalation,external,external_dynamics_subscore,60.266666666666666
China-2025-04-23-escalation-peak_subscore,China,2025-04-23,escalation,all,peak_subscore,61.2
China-2025-04-23-escalation-intensity_subscore,China,2025-04-23,escalation,all,intensity_subscore,54.25
China-2025-04-23-tension-protest_subscore,China,2025-04-23,tension,na,protest_subscore,53.9
China-2025-04-23-tension-crisis_subscore,China,2025-04-23,tension,na,crisis_subscore,56.9
China-2025-04-23-tension-negativity_subscore,China,2025-04-23,tension,na,negativity_subscore,53.1
China-2025-04-24-escalation-internal_dynamics_subscore,China,2025-04-24,escalation,internal,internal_dynamics_subscore,49.8
China-2025-04-24-escalation-external_dynamics_subscore,China,2025-04-24,escalation,external,external_dynamics_subscore,58.5
China-2025-04-24-escalation-peak_subscore,China,2025-04-24,escalation,all,peak_subscore,61.1
China-2025-04-24-escalation-intensity_subscore,China,2025-04-24,escalation,all,intensity_subscore,54.15
China-2025-04-24-tension-protest_subscore,China,2025-04-24,tension,na,protest_subscore,51.3
China-2025-04-24-tension-crisis_subscore,China,2025-04-24,tension,na,crisis_subscore,59.5
China-2025-04-24-tension-negativity_subscore,China,2025-04-24,tension,na,negativity_subscore,54.7
China-2025-04-25-escalation-internal_dynamics_subscore,China,2025-04-25,escalation,internal,internal_dynamics_subscore,48.333333333333336
China-2025-04-25-escalation-external_dynamics_subscore,China,2025-04-25,escalation,external,external_dynamics_subscore,59.266666666666666
China-2025-04-25-escalation-peak_subscore,China,2025-04-25,escalation,all,peak_subscore,61.2
China-2025-04-25-escalation-intensity_subscore,China,2025-04-25,escalation,all,intensity_subscore,53.8
China-2025-04-25-tension-protest_subscore,China,2025-04-25,tension,na,protest_subscore,50.6
China-2025-04-25-tension-crisis_subscore,China,2025-04-25,tension,na,crisis_subscore,57.3
China-2025-04-25-tension-negativity_subscore,China,2025-04-25,tension,na,negativity_subscore,53.0
China-2025-04-26-escalation-internal_dynamics_subscore,China,2025-04-26,escalation,internal,internal_dynamics_subscore,46.36666666666667
China-2025-04-26-escalation-external_dynamics_subscore,China,2025-04-26,escalation,external,external_dynamics_subscore,58.06666666666666
China-2025-04-26-escalation-peak_subscore,China,2025-04-26,escalation,all,peak_subscore,59.8
China-2025-04-26-escalation-intensity_subscore,China,2025-04-26,escalation,all,intensity_subscore,52.21666666666667
China-2025-04-26-tension-protest_subscore,China,2025-04-26,tension,na,protest_subscore,49.2
China-2025-04-26-tension-crisis_subscore,China,2025-04-26,tension,na,crisis_subscore,54.8
China-2025-04-26-tension-negativity_subscore,China,2025-04-26,tension,na,negativity_subscore,54.0
China-2025-04-27-escalation-internal_dynamics_subscore,China,2025-04-27,escalation,internal,internal_dynamics_subscore,45.199999999999996
China-2025-04-27-escalation-external_dynamics_subscore,China,2025-04-27,escalation,external,external_dynamics_subscore,56.8
China-2025-04-27-escalation-peak_subscore,China,2025-04-27,escalation,all,peak_subscore,57.5
China-2025-04-27-escalation-intensity_subscore,China,2025-04-27,escalation,all,intensity_subscore,51.0
China-2025-04-27-tension-protest_subscore,China,2025-04-27,tension,na,protest_subscore,49.9
China-2025-04-27-tension-crisis_subscore,China,2025-04-27,tension,na,crisis_subscore,56.7
China-2025-04-27-tension-negativity_subscore,China,2025-04-27,tension,na,negativity_subscore,54.2
China-2025-04-28-escalation-internal_dynamics_subscore,China,2025-04-28,escalation,internal,internal_dynamics_subscore,48.06666666666667
China-2025-04-28-escalation-external_dynamics_subscore,China,2025-04-28,escalation,external,external_dynamics_subscore,57.733333333333334
China-2025-04-28-escalation-peak_subscore,China,2025-04-28,escalation,all,peak_subscore,58.7
